Genre_ID;Movie_ID;Genre_type
1;1;Documentary
2;2;Drama,Mystery,Thriller,Horror
3;3;Drama,Animation
4;4;Drama
5;5;Drama,Comedy,Romance
6;6;Documentary
7;7;Drama,Comedy,Music
8;8;Drama
9;9;Drama,Comedy,Music
10;10;Documentary
11;11;Mystery,Thriller,Horror
12;12;Thriller,Horror
13;13;Thriller,Horror
14;14;Drama
15;15;Action,Sci-Fi,Drama,Mystery,Thriller,Horror
16;16;Drama,Comedy,Romance
17;17;Drama,Comedy,Romance
18;18;Adventure,Drama,Fantasy
19;19;Drama,Comedy,Romance
20;20;Horror,Comedy
21;21;Drama
22;22;Drama
23;23;Comedy,Family
24;24;Drama,Mystery,Thriller,Crime
25;25;Drama
26;26;Drama,Thriller
27;27;Documentary
28;28;Drama,Thriller,Crime,War
29;29;Thriller,Horror,Comedy
30;30;History,Sport
31;31;Biography,Documentary
32;32;Action,Thriller,Crime
33;33;Action,Drama,History,War
34;34;Biography,Drama,History
35;35;Drama,Comedy,Music
36;36;Documentary
37;37;Adventure,Biography,Drama,Thriller
38;38;Drama,Thriller
39;39;Action
40;40;Fantasy,Comedy,Romance
41;41;Action,Drama,Thriller,War
42;42;Biography,Drama,War
43;43;Thriller,Horror
44;44;Drama,Thriller,Crime
45;45;Crime,Documentary
46;46;Action,Drama,History,Thriller
47;47;Thriller,Horror
48;48;Action,Drama,Thriller,Crime
49;49;Action,Drama,Thriller,Crime
50;50;Drama,Crime
51;51;Drama,Comedy,Romance
52;52;Documentary
53;53;Drama
54;54;Action,Adventure,Drama,History,War
55;55;Drama,War
56;56;Drama,Mystery,Thriller,Horror,Crime
57;57;Drama
58;58;History,Thriller,Documentary,News
59;59;Drama
60;60;Drama,Thriller,Horror
61;61;Comedy,Romance,Musical
62;62;Comedy
63;63;Comedy
64;64;Drama,Comedy,Romance
65;65;Action,Thriller,Crime
66;66;Action,Drama,Thriller,Comedy,Crime
67;67;Drama,Comedy
68;68;Drama
69;69;Comedy,Musical
70;70;Documentary
71;71;Drama,Music,Documentary
72;72;Action,Adventure,Sci-Fi,Drama,Thriller
73;73;Documentary
74;74;Sci-Fi,Drama,Fantasy,Romance
75;75;Sci-Fi
76;76;Drama,Comedy
77;77;Drama
78;78;Comedy
79;79;Action,Drama,Thriller,Crime
80;80;Drama,Thriller,Crime
81;81;Action,Comedy,Crime
82;82;Biography,Documentary
83;83;Action,Drama,History,Thriller,Crime
84;84;Biography,Drama,History,Thriller,Crime
85;85;Action,Comedy,Crime
86;86;Drama,Sport,Family
87;87;Drama
88;88;Drama,Thriller
89;89;Drama,Thriller,Crime
90;90;Drama
91;91;Biography,Drama,Comedy,Music
92;92;Documentary
93;93;Drama,Crime
94;94;Comedy,Romance
95;95;Drama
96;96;Action,Sci-Fi,Thriller,Horror
97;97;Drama
98;98;Action,Thriller,Horror
99;99;Drama,Comedy,Romance
100;100;Drama,Crime,Documentary,News
101;101;Drama
102;102;Drama
103;103;Action,Drama,Thriller,Crime
104;104;Drama
105;105;Drama,Comedy
