Movie_ID,Director_ID,Actor_ID,Genre_ID,Movie_URL,Award_ID,Sales_ID,Title,Release_date,Studio,Runtime,Age_Rating,Userscore,Metascore,Summary
1,1,1,1,https://www.metacritic.com/movie/!women-art-revolution,1,,!Women Art Revolution,6/1/2011,Hotwire Productions,83,| Not Rated,,70,
2,2,2,2,https://www.metacritic.com/movie/horror,2,,#Horror,11/20/2015,IFC Midnight,101,| Not Rated,3.1,42,"Cyberbullying goes offline during one deadly night. Inspired by a shocking true story, #Horror follows a group of preteen girls living in a suburban world of money and privilege. But when their obsession with a disturbing online game goes too far, virtua"
3,3,3,3,https://www.metacritic.com/movie/999,3,,$9.99 ,6/19/2009,Regent Releasing,78,| R,6.6,68,
4,4,4,4,https://www.metacritic.com/movie/pent,4,,$pent,7/21/2000,Regent Releasing,91,,,34,"This comic drama examines the relationships and addictions of a group of twenty-something friends with very dysfunctional, yet interesting lives. (Regent Releasing)"
5,5,5,5,https://www.metacritic.com/movie/500-days-of-summer,5,,(500) Days of Summer,7/17/2009,Fox Searchlight Pictures,95,| PG-13,8.1,76,"This is a story of boy meets girl, begins the wry, probing narrator of 500 Days of Summer, and with that the film takes off at breakneck speed into a funny, true to life and unique dissection of the unruly and unpredictable year-and-a-half of one young m"
6,6,6,6,https://www.metacritic.com/movie/terror,6,,(T)error,10/7/2015,,,| Not Rated,,73,
7,7,7,7,https://www.metacritic.com/movie/untitled,7,,(Untitled),10/23/2009,"Samuel Goldwyn Company, The",96,| R,6.8,58,
8,8,8,8,https://www.metacritic.com/movie/corpus-callosum,8,,*Corpus Callosum,8/28/2002,Canyon Cinema,92,,,73,Michael Snow's postmodern vision of life at home and work.
9,9,9,9,https://www.metacritic.com/movie/and-they-lived-happily-ever-after,9,,...And They Lived Happily Ever After,4/8/2005,Kino International,100,| Unrated,7.4,58,A look at three male friends and the women in their lives.
10,10,10,10,https://www.metacritic.com/movie/so-goes-the-nation,10,,...So Goes the Nation,10/4/2006,IFC First Take,90,| Not Rated,,65,"This documentary examines America's tumultuous electoral process through the eyes of diverse politicians, activists, and voters.  (IFC Films)"
11,11,11,11,https://www.metacritic.com/movie/rec,11,,[REC],11/23/2007,3L Filmverleih,78,| R,7.1,69,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.
12,12,12,12,https://www.metacritic.com/movie/rec-2,12,,[Rec] 2,7/9/2010,Magnet Releasing,85,| R,6.9,52,
13,13,13,13,https://www.metacritic.com/movie/rec-3-genesis,13,,[REC] 3: Genesis,9/7/2012,Magnet Releasing,80,| R,4.8,45,
14,14,14,14,https://www.metacritic.com/movie/1000-times-good-night,14,,"1,000 Times Good Night",10/24/2014,Film Movement,117,| Not Rated,6.8,57,
15,15,15,15,https://www.metacritic.com/movie/10-cloverfield-lane,15,,10 Cloverfield Lane,3/11/2016,Paramount Pictures,104,| PG-13,7.7,76,"Waking up from a car accident, a young woman (Mary Elizabeth Winstead) finds herself in the basement of a man who says he's saved her life from a chemical attack that has left the outside uninhabitable."
16,16,16,16,https://www.metacritic.com/movie/10-items-or-less,16,,10 Items or Less,12/1/2006,Click Star,82,| R,5.8,54,"While researching a role as a supermarket manager, a major movie star (Freeman) befriends a feisty store clerk (Vega), and the initially mismatched pair soon discovers common ground."
17,17,17,17,https://www.metacritic.com/movie/10-years,17,,10 Years,9/14/2012,Anchor Bay Entertainment,100,| R,6.9,61,
18,18,18,18,https://www.metacritic.com/movie/10000-bc,18,,"10,000 BC",3/7/2008,Warner Bros. Pictures,109,| PG-13,4.6,34,
19,19,19,19,https://www.metacritic.com/movie/10000-km,19,,"10,000 km",7/10/2015,Broad Green Pictures,99,| R,7.4,75,"Two people in love, two apartments - one in Barcelona, the other in Los Angeles - and the images of their past, present and future. Can love survive 10,000 km?"
20,20,20,20,https://www.metacritic.com/movie/100-bloody-acres,20,,100 Bloody Acres,6/28/2013,Music Box Films,91,| Not Rated,7.5,63,"Reg and Lindsay run an organic fertilizer business. They need a fresh supply of their ""secret ingredient"" to process through the meat grinder. Reg comes across two guys and a girl with a broken-down vehicle on their way to a music festival."
21,21,21,21,https://www.metacritic.com/movie/100-streets,21,,100 Streets,1/13/2017,Samuel Goldwyn Films,93,,6.1,44,
22,22,22,22,https://www.metacritic.com/movie/1001-grams,22,,1001 Grams,5/8/2015,Kino Lorber,93,| Not Rated,,65,"When Norwegian scientist Marie attends a seminar in Paris on the actual weight of a kilo, it is her own measurement of disappointment, grief and, not least, love, that ends up on the scale. Finally Marie is forced to come to terms with how much a human l"
23,23,23,23,https://www.metacritic.com/movie/102-dalmatians,23,,102 Dalmatians,11/22/2000,Buena Vista Pictures,100,| G,5.1,35,"Just when it seemed safe to come out of the kennel, Cruella De Vil is back and this time she's not alone.  (Walt Disney Pictures)"
