Award_ID;Movie_ID;Title;Award
1;1;!Women Art Revolution;
2;2;#Horror;
3;3;$9.99;
4;4;$pent;
5;5;(500) Days of Summer;#67BestMovieof2009 , #15MostDiscussedMovieof2009 , #24MostSharedMovieof2009
6;6;(T)error;
7;7;(Untitled);
8;8;*Corpus Callosum;#72BestMovieof2002
9;9;...And They Lived Happily Ever After;
10;10;...So Goes the Nation;
11;11;[REC];
12;12;[Rec] 2;
13;13;[REC] 3: Genesis;
14;14;1,000 Times Good Night;
15;15;10 Cloverfield Lane;#18MostDiscussedMovieof2016 , #1MostSharedMovieof2016
16;16;10 Items or Less;
17;17;10 Years;
18;18;10,000 BC;#23MostDiscussedMovieof2008 , #27MostSharedMovieof2008
19;19;10,000 km;
20;20;100 Bloody Acres;
21;21;100 Streets;
22;22;1001 Grams;
23;23;102 Dalmatians;#73MostDiscussedMovieof2000
24;24;10th & Wolf;
25;25;11 Flowers;
26;26;11 Minutes;
27;27;11/8/16;
28;28;12;#97BestMovieof2009 , #18MostSharedMovieof2009
29;29;12 Hour Shift;
30;30;12 Mighty Orphans;
31;31;12 O'Clock Boys;
32;32;12 Rounds;#71MostSharedMovieof2009
33;33;12 Strong;#77MostDiscussedMovieof2018 , #21MostSharedMovieof2018
34;34;12 Years a Slave;#1BestMovieof2013 , #17MostDiscussedMovieof2013 , #23MostSharedMovieof2013
35;35;12:08 East of Bucharest;#51BestMovieof2007
36;36;12-12-12;
37;37;127 Hours;#23BestMovieof2010 , #26MostDiscussedMovieof2010 , #45MostSharedMovieof2010
38;38;13;#61MostSharedMovieof2011
39;39;13 Assassins;#23BestMovieof2011 , #35MostSharedMovieof2011
40;40;13 Going on 30;#72MostDiscussedMovieof2004 , #51MostSharedMovieof2004
41;41;13 Hours: The Secret Soldiers of Benghazi;#51MostDiscussedMovieof2016 , #44MostSharedMovieof2016
42;42;13 Minutes;
43;43;13 Sins;
44;44;13 Tzameti;
45;45;13th;#37BestMovieof2016
46;46;14 Blades;
47;47;1408;#46MostDiscussedMovieof2007 , #32MostSharedMovieof2007
48;48;15 Minutes;
49;49;16 Blocks;#84MostDiscussedMovieof2006
50;50;16 Years of Alcohol;
51;51;17 Again;#87MostDiscussedMovieof2009 , #61MostSharedMovieof2009
52;52;17 Blocks;#61BestMovieof2019
53;53;17 Girls;#38MostSharedMovieof2012
54;54;1911;
55;55;1917;#18MostDiscussedMovieof2019
56;56;1922;
57;57;1945;
58;58;1971;
59;59;1985;
60;60;1BR;
61;61;1st Night;#68MostSharedMovieof2013
62;62;2 Autumns, 3 Winters;
63;63;2 Days in New York;
64;64;2 Days in Paris;
65;65;2 Fast 2 Furious;#14MostDiscussedMovieof2003 , #41MostSharedMovieof2003
66;66;2 Guns;#87MostDiscussedMovieof2013 , #70MostSharedMovieof2013
67;67;2 Jacks;
68;68;2 or 3 Things I Know About Him;#78BestMovieof2007
69;69;20 Centimeters;
70;70;20 Feet from Stardom;#25BestMovieof2013
71;71;20,000 Days on Earth;#37BestMovieof2014
72;72;2012;#13MostDiscussedMovieof2009 , #4MostSharedMovieof2009
73;73;2016: Obama's America;
74;74;2046;#53BestMovieof2005
75;75;2067;
76;76;20th Century Women;#35BestMovieof2016
77;77;21;#66MostDiscussedMovieof2008 , #10MostSharedMovieof2008
78;78;21 and Over;
79;79;21 Bridges;
80;80;21 Grams;#98BestMovieof2003 , #51MostDiscussedMovieof2003 , #43MostSharedMovieof2003
81;81;21 Jump Street;#22MostDiscussedMovieof2012 , #62MostSharedMovieof2012
82;82;21 Years: Richard Linklater;
83;83;211;
84;84;22 July;
85;85;22 Jump Street;#38MostDiscussedMovieof2014 , #54MostSharedMovieof2014
86;86;23 Blast;
87;87;24 City;#70BestMovieof2009
88;88;24 Days;
89;89;24 Exposures;
90;90;24 Frames;
91;91;24 Hour Party People;#13BestMovieof2002 , #96MostDiscussedMovieof2002 , #100MostSharedMovieof2002
92;92;24 Hours on Craigslist;
93;93;25th Hour;#53MostDiscussedMovieof2002 , #52MostSharedMovieof2002
94;94;27 Dresses;#94MostDiscussedMovieof2008 , #43MostSharedMovieof2008
95;95;28 Days;
96;96;28 Days Later...;#64BestMovieof2003 , #7MostDiscussedMovieof2003 , #40MostSharedMovieof2003
97;97;28 Hotel Rooms;
98;98;28 Weeks Later;#41BestMovieof2007 , #18MostDiscussedMovieof2007 , #36MostSharedMovieof2007
99;99;3;
100;100;3 1/2 Minutes, 10 Bullets;
101;101;3 Backyards;
102;102;3 Dancing Slaves;
103;103;3 Days to Kill;
104;104;3 Faces;#94BestMovieof2019
105;105;3 Generations;
106;106;3 Hearts;
