Director_ID;Movie_ID;First_name;Surname
1;1;Lynn;Hershman-Leeson    
2;2;Tara;Subkoff    
3;3;Tatia;Rosenthal    
4;4;Gil;Cates Jr.   
5;5;Marc;Webb    
6;6;David;Felix Sutcliffe   
7;7;Jonathan;Parker    
8;8;Michael;Snow    
9;9;Yvan;Attal    
10;10;Adam;Del Deo   
11;11;Jaume;Balagueró    
12;12;Jaume;Balagueró    
13;13;Paco;Plaza    
14;14;Erik;Poppe    
15;15;Dan;Trachtenberg    
16;16;Brad;Silberling    
17;17;Jamie;Linden    
18;18;Roland;Emmerich    
19;19;Carlos;Marques-Marcet    
20;20;Cameron;Cairnes    
21;21;Jim;O'Hanlon    
22;22;Bent;Hamer    
23;23;Kevin;Lima    
24;24;Robert;Moresco    
25;25;Xiaoshuai;Wang    
26;26;Jerzy;Skolimowski    
27;27;Alison;Klayman    
28;28;Nikita;Mikhalkov    
29;29;Brea;Grant    
30;30;Ty;Roberts    
31;31;Lotfy;Nathan    
32;32;Renny;Harlin    
33;33;Nicolai;Fuglsig    
34;34;Steve;McQueen    
35;35;Corneliu;Porumboiu    
36;36;Amir;Bar-Lev    
37;37;Danny;Boyle    
38;38;Géla;Babluani    
39;39;Takashi;Miike    
40;40;Gary;Winick    
41;41;Michael;Bay    
42;42;Oliver;Hirschbiegel    
43;43;Daniel;Stamm    
44;44;Géla;Babluani    
45;45;Ava;DuVernay    
46;46;Daniel;Lee    
47;47;Mikael;Håfström    
48;48;John;Herzfeld    
49;49;Richard;Donner    
50;50;Richard;Jobson    
51;51;Burr;Steers    
52;52;Davy;Rothbart    
53;53;Delphine;Coulin    
54;54;Jackie;Chan    
55;55;Sam;Mendes    
56;56;Zak;Hilditch    
57;57;Ferenc;Török    
58;58;Johanna;Hamilton    
59;59;Yen;Tan    
60;60;David;Marmor    
61;61;Christopher;Menaul    
62;62;Sébastien;Betbeder    
63;63;Julie;Delpy    
64;64;Julie;Delpy    
65;65;John;Singleton    
66;66;Baltasar;Kormákur    
67;67;Bernard;Rose    
68;68;Malte;Ludin    
69;69;Ramón;Salazar    
70;70;Morgan;Neville    
71;71;Iain;Forsyth    
72;72;Roland;Emmerich    
73;73;Dinesh;D'Souza    
74;74;Kar;Wai Wong   
75;75;Seth;Larney    
76;76;Mike;Mills    
77;77;Robert;Luketic    
78;78;Jon;Lucas    
79;79;Brian;Kirk    
80;80;Alejandro;González Iñárritu   
81;81;Chris;Miller    
82;82;Michael;Dunaway    
83;83;York;Alec Shackleton   
84;84;Paul;Greengrass    
85;85;Chris;Miller    
86;86;Dylan;Baker    
87;87;Zhang;Ke Jia   
88;88;Alexandre;Arcady    
89;89;Joe;Swanberg    
90;90;Abbas;Kiarostami    
91;91;Michael;Winterbottom    
92;92;Michael;Ferris Gibson   
93;93;Spike;Lee    
94;94;Anne;Fletcher    
95;95;Betty;Thomas    
96;96;Danny;Boyle    
97;97;Matt;Ross    
98;98;Juan;Carlos Fresnadillo   
99;99;Tom;Tykwer    
100;100;Marc;Silver    
101;101;Eric;Mendelsohn    
102;102;Gaël;Morel    
103;103;McG;    
104;104;Jafar;Panahi    
105;105;Gaby;Dellal    
106;106;Benoît;Jacquot    
107;107;Thom;Fitzgerald    
108;108;DJ;Pooh    
109;109;Jordan;Roberts    
110;110;James;Mangold    
111;111;Alexis;Lloyd    
112;112;David;Slade    
113;113;Ruben;Fleischer    
114;114;Zack;Snyder    
115;115;Noam;Murro    
116;116;Demian;Lichtenstein    
117;117;Elan;Bogarin    
118;118;Rob;Zombie    
119;119;Pauline;Chan    
120;120;Claire;Denis    
121;121;Fernando;Meirelles    
122;122;Dani;Menkin    
123;123;Christopher;Sun Lap Key  
124;124;Ki-duk;Kim    
125;125;Ilya;Khrjanovsky    
126;126;Jérôme;Reybaud    
127;127;Cristian;Mungiu    
128;128;Abel;Ferrara    
129;129;Michael;Lehmann    
130;130;Lee;Aronsohn    
131;131;Brian;Helgeland    
132;132;Malcolm;Venville    
