Sales_ID,Movie_ID,Release_Date,domestic_box_office,international_box_office,worldwide_box_office,P_budget,Opening_weekend,Theatre_count
1,,03 09 2018,n/a,,,,,
2,,06 30 2017,422,4604101,4604523,,5486209,2433
3,,08 6 2021,n/a,,,,,
4,,08 12 2005,n/a,,,6000000,12177488,2411
5,,06 9 2017,n/a,,,,1649,1
6,,08 25 2017,n/a,7892,7892,,1500,5
7,,05 18 2017,n/a,2955320,2955320,,2125,1
8,,09 20 2013,n/a,118136,118136,,3376,1
9,,11 30 2018,n/a,6871135,6871135,,3077,1
10,,09 16 2011,59774,235718,295492,7200000,7736452,2470
11,,04 7 2006,18926,,,,37318,17
12,,02 7 2003,145540,489263,634803,1750000,4025115,1977
13,,06 5 2014,n/a,52546,52546,,80655,18
14,,07 11 2008,12636,,,3400000,,
15,,09 3 2021,n/a,18812,18812,,8203061,1166
16,,03 26 2020,n/a,123784,123784,,985,1
17,,09 9 2009,31749894,16810105,48559999,30000000,,
18,,12 12 2009,52107,,,,59481,3
19,,04 13 2018,n/a,6766408,6766408,,48579,4
20,,06 9 2017,n/a,78066,78066,,7515402,2376
21,,02 23 2018,8620,,,,31368,3
22,,07 22 2005,191862,,,250000,,
23,,03 4 2009,125120,4456241,4581361,,,
24,,10 28 2011,n/a,3317662,3317662,,72348,6
25,,04 13 2005,3013,,,,407,1
26,,03 21 2008,81159365,78687064,159846429,35000000,,
27,,05 6 2016,n/a,370369,370369,,2993519,2324
28,,09 1 2016,779820,142907,922727,1500000,1901,3
29,,10 7 2016,n/a,,,,9360434,3117
30,,04 12 2013,95020213,2450488,97470701,31000000,,
31,,04 8 2016,n/a,2081,2081,,10919,5
32,,10 5 2018,n/a,134812,134812,,18854,3
33,,05 10 2019,n/a,1219,1219,,,
34,,05 10 2019,n/a,3431,3431,,1673921,161
35,,03 1 2019,n/a,5123,5123,,1088,2
36,,02 15 2008,n/a,1334204,1334204,,,
37,,06 8 2018,n/a,937961,937961,,,
38,,03 9 2007,210614939,243546996,454161935,60000000,620,1
39,,07 19 2018,n/a,351062,351062,,,
40,,08 3 2012,100343,4040908,4141251,,,
41,,08 20 2021,n/a,,,,,
42,,12 9 2016,n/a,,,,91279,7
43,,10 9 2020,n/a,,,,9494,1
44,,06 22 2007,71985628,59277742,131263370,22500000,,
45,,04 17 2015,96682,,,,,
46,,12 25 2019,159227644,211375735,370603379,100000000,,
47,,01 12 2018,n/a,3130260,3130260,,,
48,,06 25 2021,n/a,78477113,78477113,,,
49,,07 1 2016,n/a,20615138,20615138,,3707,1
50,,11 1 2017,1005719,97135,1102854,,,
51,,07 30 2015,n/a,,,,,
52,,09 1 2009,753197,,,,,
53,,01 19 2021,n/a,,,,,
54,,10 26 2018,n/a,34710,34710,,,
55,,05 20 2021,n/a,,,,,
56,,07 27 2018,n/a,,,,66232,6
57,,11 13 2009,166112167,591565581,757677748,200000000,,
58,,11 27 2020,n/a,5603,5603,,194736,40
59,,06 5 2019,n/a,1881876,1881876,,,
60,,08 5 2004,1442338,17836260,19278598,12000000,760,3
61,,01 14 2020,n/a,,,,,
62,,10 2 2020,n/a,2674,2674,,,
63,,11 22 2019,n/a,,,,,
64,,09 17 2015,n/a,330851,330851,,104374,411
65,,06 12 2014,n/a,1153271,1153271,,,
66,,07 18 2019,n/a,,,5000000,,
67,,10 20 2010,n/a,,,,9800252,2910
68,,11 11 2011,38100,2718775,2756875,,,
69,,11 15 2013,n/a,,,,10907,2
70,,11 3 2017,n/a,,,,247966675,4134
71,,09 28 2018,n/a,452,452,,,
72,,11 11 2021,n/a,170770,170770,,,
73,,04 29 2016,n/a,14141,14141,,,
74,,10 10 2018,n/a,,,,474560,4
75,,09 8 2017,172000,20318,192318,,,
76,,02 26 2010,1909,,,,,
77,,06 1 2011,52681,,,,,
78,,04 29 2016,n/a,230020,230020,,,
79,,01 22 2019,n/a,343473,343473,,,
80,,10 18 2019,n/a,,,,,
81,,09 19 2017,n/a,,,,,
82,,11 20 2015,n/a,,,1500000,26746,3
83,,02 7 2020,n/a,1567829,1567829,,,
84,,11 1 2019,n/a,,,,,
85,,12 10 2020,n/a,,,,,
86,,11 14 2019,n/a,4326,4326,,,
87,,10 12 2018,n/a,3356,3356,,50583,17
88,,06 24 2020,n/a,13450193,13450193,,,
89,,04 5 2018,n/a,,,,,
90,,11 24 2017,n/a,795,795,,,
91,,10 10 2014,n/a,,,,78104,5
92,,05 6 2016,n/a,759900,759900,,,
93,,06 10 2018,n/a,34933,34933,,,
94,,08 10 2012,15919,,,,,
95,,10 11 2019,n/a,615317,615317,,,
96,,09 23 2011,n/a,,,,1758576,301
97,,11 23 2007,n/a,23266821,23266821,2100000,,
98,,07 9 2010,27766,18500000,18527766,5600000,,
99,,09 7 2012,9600,7241000,7250600,,,
100,,01 2 2015,837,330057,330894,,,
101,,04 13 2017,n/a,44559,44559,,,
102,,05 29 2019,n/a,922747,922747,,,
103,,01 17 2020,n/a,1219228,1219228,,,
104,,12 20 2019,n/a,5736612,5736612,,,
105,,01 13 2006,16255,,,,,
106,,09 13 2019,n/a,3391,3391,,,
107,,09 12 2017,725286,,,,,
108,,10 1 2015,n/a,,,,,
109,,12 19 2018,n/a,130997,130997,,,
110,,09 17 2015,n/a,8038,8038,,,
111,,10 14 2016,n/a,,,,,
112,,10 27 2017,n/a,,,,,
113,,05 1 2014,n/a,10833134,10833134,,,
114,,01 7 2021,n/a,1230292,1230292,,,
115,,01 30 2018,n/a,10055367,10055367,,,
116,,03 6 2020,n/a,,,,,
117,,12 19 2018,n/a,14446477,14446477,,,
118,,08 24 2001,19147,7000000,7019147,,,
119,,05 16 2014,n/a,90625,90625,,,
120,,09 23 2021,n/a,,,,,
121,,10 1 2021,4382,,,,7321,1
122,,01 10 2020,n/a,5011408,5011408,,422656,132
123,,05 31 2019,78966,7193254,7272220,,,
124,,11 10 2017,n/a,17366,17366,,55347,3
125,,12 2 2020,n/a,,,,,
126,,04 1 2021,n/a,5209010,5209010,,,
127,,03 26 2004,257315,5249,262564,,92663,61
128,,05 4 2018,n/a,590,590,,192816,312
129,,08 26 2017,2620183,629836,3250019,,,
130,,01 7 2021,n/a,1944311,1944311,,,
131,,08 3 2005,2678010,875243,3553253,1000000,2354205,1911
132,,09 23 2016,n/a,173986,173986,,,
133,,09 5 2008,74494,,,,7768371,2442
134,,11 17 2007,31664162,32941600,64605762,25000000,35363,21
135,,12 25 2013,37738810,13000000,50738810,25000000,,
136,,05 17 2013,107352,,,,,
137,,08 24 2007,1066555,,,10100000,,
138,,09 11 2017,n/a,,,,,
139,,06 24 2016,n/a,22033,22033,,,
140,,05 27 2016,n/a,295684,295684,,,
141,,04 7 2017,n/a,,,,,
142,,06 8 2012,n/a,,,,,
143,,08 25 2012,n/a,,,,,
144,,03 23 2012,5355847,36145,5391992,1000000,8280,2
145,,07 24 2015,n/a,,,,,
146,,03 11 2016,72082999,36203423,108286422,15000000,,
147,,02 12 2010,26185,,,,,
148,,11 11 2015,14616,,,12000000,,
149,,10 23 2015,n/a,38501,38501,,,
150,,12 30 2021,n/a,6319,6319,,,
151,,02 7 2019,n/a,8304981,8304981,,,
152,,12 3 2020,n/a,86872,86872,,,
153,,11 20 2020,856,10072181,10073037,,,
154,,12 4 2020,n/a,841737,841737,,,
155,,09 27 2019,n/a,277092,277092,,,
156,,08 24 2007,224546,260000,484546,,,
157,,04 4 2014,n/a,,,,,
158,,09 28 2018,n/a,89178,89178,,,
159,,02 28 2020,n/a,39054,39054,,,
160,,08 22 2012,n/a,5646,5646,,,
161,,05 6 2021,n/a,,,,,
162,,09 14 2012,203654,783986,987640,,7411522,2776
163,,03 7 2008,94784201,174281477,269065678,105000000,,
164,,07 10 2015,n/a,20452,20452,,,
165,,01 6 2017,n/a,508820,508820,,4905,2
166,,08 14 2015,n/a,,,,,
167,,10 11 2019,5152,,,,79180,24
168,,06 28 2013,6388,,,,,
169,,12 29 2021,n/a,125983,125983,,,
170,,03 16 2018,n/a,81702,81702,,,
171,,12 6 2018,n/a,13946006,13946006,,,
172,,04 20 2018,n/a,16605,16605,,,
173,,11 4 2016,n/a,2088883,2088883,,,
174,,01 13 2016,n/a,307,307,,,
175,,03 24 2000,5428,,,,,
176,,07 7 2017,n/a,1381885,1381885,,,
177,,06 28 2019,n/a,801962,801962,,,
178,,06 26 2020,n/a,8147142,8147142,,,
179,,05 8 2015,10983,36036,47019,,,
180,,06 11 2021,n/a,12487,12487,,,
181,,07 25 2001,109277,,,,43952,15
182,,11 22 2000,66941559,,,85000000,,
183,,05 4 2018,1339909,15425303,16765212,,,
184,,04 15 2017,n/a,,,,,
185,,10 4 2019,n/a,562991,562991,,,
186,,09 12 2014,n/a,,,,,
187,,09 27 2019,32413,,,,,
188,,08 18 2006,54702,89080,143782,8000000,,
189,,04 13 2018,n/a,27956,27956,,,
190,,12 8 2017,n/a,,,,23523121,4090
191,,07 11 2003,126694,1742104,1868798,,,
192,,01 29 2016,n/a,414252,414252,,,
193,,08 17 2007,703464,345428,1048892,,,
194,,09 14 2007,46474,1100000,1146474,,,
195,,10 12 2017,n/a,,,,,
196,,03 6 2015,n/a,3256270,3256270,,,
197,,10 2 2020,6820,,,,,
198,,08 7 2009,553,,,,,
199,,03 16 2017,2633,710087,712720,,579,2
200,,12 23 2016,n/a,343078,343078,,,
201,,02 20 2015,n/a,541753,541753,,,
202,,06 11 2021,3688723,23686,3712409,,,
203,,01 31 2014,80030,,,,,
204,,11 16 2018,n/a,,,,3256,7
205,,03 27 2009,12234694,5071954,17306648,20000000,,
206,,09 11 2015,n/a,,,,,
207,,01 19 2018,45819713,25298665,71118378,35000000,,
208,,10 18 2013,56671993,124093068,180765061,20000000,,
209,,10 20 2017,125189,7531104,7656293,,,
210,,11 5 2010,18335230,41881941,60217171,18000000,,
211,,04 15 2016,n/a,,,,,
212,,10 22 2021,n/a,,,,,
213,,04 23 2004,57139723,40518989,97658712,37000000,,
214,,01 15 2016,52853219,16558151,69411370,50000000,,
215,,10 29 2021,n/a,21768,21768,,,
216,,06 6 2008,2237,,,,180920,21
217,,04 18 2014,9134,38418,47552,4000000,,
218,,07 28 2006,121390,,,,216495,4
219,,06 12 2015,n/a,4563,4563,,,
220,,03 6 2009,12449,1386507,1398956,,,
221,,10 7 2016,n/a,566,566,,5584684,2074
222,,07 27 2018,n/a,,,,,
223,,02 19 2021,n/a,77208,77208,,,
224,,10 16 2015,n/a,167439,167439,,1787108,299
225,,06 17 2020,n/a,129,129,,,
226,,01 26 2001,640790,,,,1600,1
